ds,yhat,yhat_lower,yhat_upper
2014-01-31,3955.4484293121386,-5999.051900918942,13239.407202079943
2014-02-28,1234.6035044967884,-8407.316235493892,10642.453225376092
2014-03-31,19750.76004894171,10625.516784023897,28985.922497838885
2014-04-30,8255.22529266097,-533.3404454781538,17947.943188840352
2014-05-31,10232.551756019602,525.9563918610703,19739.257634465328
2014-06-30,7154.986702140147,-1885.2043856667483,15990.529547141228
2014-07-31,9351.596073724133,-272.16026234766474,18976.437529375038
2014-08-31,10200.944810560188,584.065695049171,19537.601065231716
2014-09-30,21122.098956185717,11080.156450366549,30660.78695522635
2014-10-31,14124.380094473021,5008.516426078124,23885.167123556417
2014-11-30,27710.982258299475,17419.490322203386,36945.78906775367
2014-12-31,23666.012209048233,14790.649736046566,33277.193103435384
2015-01-31,5127.6021141527,-4628.246443173617,14179.448121775395
2015-02-28,4118.87113155744,-5113.129641968342,13343.789867326306
2015-03-31,22410.590378216184,12785.363621715565,32134.693080868332
2015-04-30,12960.839035327124,4331.429832979182,22769.40977248207
2015-05-31,10892.881246622444,1939.0441865624928,20337.40072185311
2015-06-30,9480.06619120025,-5.86102954197492,18837.342441857872
2015-07-31,12827.23352338342,3532.1696593272472,22452.903647913216
2015-08-31,16651.348162745217,6724.065367179841,26245.115864116022
2015-09-30,25455.1049276135,16105.44372851252,34651.22962024692
2015-10-31,10863.43310937472,1883.8996561574345,20256.494302807947
2015-11-30,29935.67922174604,21102.44638502808,39778.467995216
2015-12-31,32686.132712824176,23397.20503209795,41714.22617290649
2016-01-31,6232.145393734907,-3393.577602316486,15331.335868543994
2016-02-29,7555.308530907127,-1813.9172964710535,17291.084735300974
2016-03-31,26518.673432299838,17705.72319267226,35701.37336244761
2016-04-30,10823.019524046442,1488.6609167782226,20133.329031014324
2016-05-31,20893.562624904123,11606.09434633838,30186.797153027102
2016-06-30,14728.04676086376,5876.54104017333,23684.969650477993
2016-07-31,14669.693539422904,5603.651773995552,23451.82453188111
2016-08-31,9359.05940097468,654.7764421068105,18212.592872213143
2016-09-30,24093.477289727605,14411.009603114442,33488.46645993267
2016-10-31,32612.309769963576,23472.984491264204,42560.676354021736
2016-11-30,35777.29784779161,26384.408981816763,45301.38277124923
2016-12-31,17730.06809497988,8592.76385750952,27136.983760776773
2017-01-31,14776.69848828133,6190.371167445962,24834.253602939432
2017-02-28,10421.983609621935,567.8399694606949,19544.82424869975
2017-03-31,29161.908732777498,19508.647699517063,38316.56525966475
2017-04-30,15584.062549733751,6735.52261336789,24753.74775829354
2017-05-31,21608.834723048356,12786.171541633828,30669.298892469884
2017-06-30,16946.667350335512,7620.380966777978,26480.837703775545
2017-07-31,18007.297398135615,8397.284661278298,26967.535375802043
2017-08-31,15810.684095523497,6418.975404296216,25023.982427975418
2017-09-30,28710.08904058885,19491.88485825286,38139.13626975938
2017-10-31,29418.5994592568,20040.252872616693,38781.06425892874
2017-11-30,37700.84183305621,28154.54985460636,47214.10465440996
2017-12-31,26721.016100156783,17424.586015695266,35669.644448827254
2018-01-31,16018.366782788647,5874.564182451614,25165.84529383164
2018-02-28,13297.584526567993,4072.460033623596,22751.384655094527
2018-03-31,31813.810453941038,23029.285142956076,41022.22165109217
2018-04-30,20318.34284240509,11400.570251213454,30247.1464968139
2018-05-31,22295.738688715803,12357.740050029466,31740.094395536555
2018-06-30,19218.24077921689,9217.765641344446,28493.407971521672
2018-07-31,21414.91953334468,11674.661167302276,30461.37829470586
2018-08-31,22264.337652946277,13305.458517562953,31602.75067140959
2018-09-30,33185.55894326242,24010.29378380855,42241.7157066294
2018-10-31,26187.90946445541,16748.90439785498,36132.95654866121
2018-11-30,39774.57877296631,30638.65757846717,48836.2650497471
2018-12-31,35729.67810681562,25947.55217439822,45395.76924855841
2019-01-31,17191.337394947535,8214.33346459564,26601.892629220376
2019-02-28,16182.669080476006,6873.159410395008,25495.150713418763
2019-03-31,34474.45770939749,25999.02329745271,43996.375641990315
2019-04-30,25024.77351061644,15336.79870847527,33996.53832099109
2019-05-31,22956.850707311914,13714.463496421875,32513.93576566294
2019-06-30,21544.035653405223,11664.121345265312,31302.963792891158
2019-07-31,24891.20298714526,16199.825678820422,34042.27639134917
2019-08-31,28715.317627725035,19418.24518730275,37897.6135191242
2019-09-30,37519.07439326339,28838.374797238783,46315.52976530001
2019-10-31,22927.402575696935,14112.742649579415,33026.09215416356
2019-11-30,41999.64868867401,33024.693843447334,51585.713744587396
2019-12-31,44750.102179815425,34579.676305897694,53408.00369160454
2020-01-31,18296.114860840586,8961.20512913846,27126.208775195497
2020-02-29,19619.27799774972,11001.126219529406,28313.6592336299
2020-03-31,38582.64289859598,28962.52020327867,47904.52162378177
2020-04-30,22886.988989803678,13863.610332161474,31775.73700794585
2020-05-31,32957.53209034965,23230.39646048247,42923.41764805862
2020-06-30,26792.01622576123,17509.319295302677,35568.2880358217
2020-07-31,26733.663003816117,18379.547820492833,36132.82566080398
2020-08-31,21423.0288650212,12383.393408966786,30879.923366017512
2020-09-30,36157.44675323565,26535.364252208547,44533.84867231405
2020-10-31,44676.27923291001,35453.15503603659,53056.42434885884
2020-11-30,47841.267310487514,38181.42395929127,58067.06292000196
2020-12-31,29794.037557647865,20236.70230615432,38943.521734068236
